country,lat,lon
AD,42.50779,1.52109
AE,24.45118,54.39696
AF,34.52813,69.17233
AG,17.12096,-61.84329
AI,18.21704,-63.05783
AL,41.32744,19.81866
AM,40.17765,44.5126
AO,-8.83682,13.23432
AR,-34.61315,-58.37723
AS,-14.27806,-170.7025
AT,48.20849,16.37208
AU,-35.28346,149.12807
AW,12.52398,-70.02703
AX,60.09726,19.93481
AZ,40.37767,49.89201
BA,43.84864,18.35644
BB,13.10732,-59.62021
BD,23.7104,90.40744
BE,50.85045,4.34878
BF,12.36566,-1.53388
BG,42.69751,23.32415
BH,26.22787,50.58565
BI,-3.42708,29.92463
BJ,6.49646,2.60359
BL,17.89618,-62.84978
BM,32.2949,-64.78303
BN,4.89035,114.94006
BO,-19.03332,-65.26274
BQ,12.15,-68.26667
BR,-15.77972,-47.92972
BS,25.05823,-77.34306
BT,27.46609,89.64191
BW,-24.65451,25.90859
BY,53.90019,27.56653
BZ,17.25376,-88.76401
CA,45.41117,-75.69812
CC,-12.15681,96.82251
CD,-4.32758,15.31357
CF,4.36122,18.55496
CG,-4.26613,15.28318
CH,46.94809,7.44744
CI,6.82055,-5.27674
CK,-21.2075,-159.77546
CL,-33.45694,-70.64827
CM,3.86667,11.51667
CN,39.9075,116.39723
CO,4.60971,-74.08175
CR,9.93388,-84.08489
CU,23.13302,-82.38304
CV,14.93152,-23.51254
CW,12.12246,-68.88641
CX,-10.42172,105.67912
CY,35.17284,33.35397
CZ,50.08804,14.42076
DE,52.52437,13.41053
DJ,11.58901,43.14503
DK,55.67594,12.56553
DM,15.30174,-61.38808
DO,18.47186,-69.89232
DZ,36.73225,3.08746
EC,-0.22985,-78.52495
EE,59.43696,24.75353
EG,30.06263,31.24967
ER,15.33805,38.93184
ES,40.4165,-3.70256
ET,9.02497,38.74689
FI,60.16952,24.93545
FJ,-18.13683,178.42531
FK,-51.69382,-57.85701
FM,6.92477,158.16109
FO,62.00973,-6.77164
FR,48.85341,2.3488
GA,0.39241,9.45356
GB,51.50853,-0.12574
GD,12.05288,-61.75226
GE,41.69143,44.83412
GF,4.9381,-52.33455
GG,49.45981,-2.53527
GH,5.55602,-0.1969
GI,36.14474,-5.35257
GL,64.18347,-51.72157
GM,13.45274,-16.57803
GN,9.53795,-13.67729
GP,15.99714,-61.73214
GQ,1.5925,10.82361
GR,37.98376,23.72784
GS,-54.28111,-36.5092
GT,14.64072,-90.51327
GU,13.47567,144.74886
GW,11.86357,-15.59767
GY,6.80448,-58.15527
HK,22.27832,114.17469
HN,14.0818,-87.20681
HR,45.81444,15.97798
HT,18.54349,-72.33881
HU,47.49835,19.04045
ID,-6.21462,106.84513
IE,53.33306,-6.24889
IM,54.15,-4.48333
IN,28.62137,77.2148
IQ,33.34058,44.40088
IR,35.69439,51.42151
IS,64.13548,-21.89541
IT,41.89193,12.51133
JE,49.18804,-2.10491
JM,17.99702,-76.79358
JO,31.95522,35.94503
JP,35.6895,139.69171
KE,-1.28333,36.81667
KG,42.87,74.59
KH,11.56245,104.91601
KI,1.3278,172.97696
KM,-11.70216,43.25506
KN,17.2955,-62.72499
KP,39.03385,125.75432
KR,37.566,126.9784
KW,29.367,47.97429
KY,19.2866,-81.37436
KZ,51.1801,71.44598
LA,17.96667,102.6
LB,33.89332,35.50157
LC,13.9957,-61.00614
LI,47.14151,9.52154
LK,6.93548,79.84868
LR,6.30054,-10.7969
LS,-29.31667,27.48333
LT,54.68916,25.2798
LU,49.60982,6.13268
LV,56.946,24.10589
LY,32.88743,13.18733
MA,34.01325,-6.83255
MC,43.73718,7.42145
MD,47.00902,28.85938
ME,42.44124,19.26309
MF,18.06819,-63.08302
MG,-18.91368,47.53613
MH,7.08971,171.38027
MK,41.99646,21.43141
ML,12.60915,-7.97522
MM,19.745,96.12972
MN,47.90771,106.88324
MO,22.20056,113.54611
MP,15.21233,145.7545
MQ,14.60365,-61.07418
MR,18.08581,-15.9785
MS,16.70555,-62.21292
MT,35.89968,14.5148
MU,-20.16194,57.49889
MV,4.17521,73.50916
MW,-13.96692,33.78725
MX,19.42847,-99.12766
MY,3.1412,101.68653
MZ,-25.96553,32.58322
NA,-22.55941,17.08323
NC,-22.27407,166.44884
NE,13.51366,2.1098
NF,-29.05459,167.96628
NG,9.05785,7.49508
NI,12.13282,-86.2504
NL,52.37403,4.88969
NO,59.91273,10.74609
NP,27.70169,85.3206
NR,-0.55085,166.9252
NU,-19.05294,-169.91957
NZ,-41.28664,174.77557
OM,23.58413,58.40778
PA,8.9936,-79.51973
PE,-12.04318,-77.02824
PF,-17.5347,-149.56843
PG,-9.47723,147.15089
PH,14.6042,120.9822
PK,33.72148,73.04329
PL,52.22977,21.01178
PM,46.77914,-56.1773
PN,-25.06597,-130.10147
PR,18.46633,-66.10572
PT,38.72509,-9.1498
PW,7.50077,134.6238
PY,-25.28646,-57.647
QA,25.28545,51.53096
RE,-20.88231,55.4504
RO,44.43225,26.10626
RS,44.80401,20.46513
RU,55.75204,37.61781
RW,-1.94995,30.05885
SA,24.68773,46.72185
SB,-9.43333,159.95
SC,-4.62001,55.45501
SD,15.55177,32.53241
SE,59.32938,18.06871
SG,1.28967,103.85007
SH,-15.92488,-5.71816
SI,46.05108,14.50513
SJ,78.22334,15.64689
SK,48.14816,17.10674
SL,8.48714,-13.2356
SM,43.93667,12.44639
SN,14.6937,-17.44406
SO,2.03711,45.34375
SR,5.86638,-55.16682
SS,4.85165,31.58247
ST,0.33756,6.7299
SV,13.68935,-89.18718
SX,18.026,-63.04582
SY,33.5102,36.29128
SZ,-26.31667,31.13333
TC,21.46122,-71.14188
TD,12.10672,15.0444
TF,-49.34916,70.21937
TG,6.12874,1.22154
TH,13.75398,100.50144
TJ,38.53575,68.77905
TL,-8.55861,125.57361
TM,37.95,58.38333
TN,36.81897,10.16579
TO,-21.13683,-175.20114
TR,39.91987,32.85427
TT,10.66668,-61.51889
TV,-8.52425,179.19417
TW,25.05306,121.52639
TZ,-6.17221,35.73947
UA,50.45466,30.5238
UG,0.31628,32.58219
US,38.89511,-77.03637
